# PBI辐射计算结果 - CLI版本
# 生成时间: 2025-06-19 21:29:34.393265

# 输入参数:
# initial_energy: 3.0
# thickness: 0.0
# density: 1.947
# ionization_energy: 12.0
# g_factor: 0.17
# max_radius: 100.0
# save: True

# SRIM能量损失分析:
# 初始能量: 3.0
# 最终能量: 3.0
# 能量损失: 0.0
# 损失百分比: 0.0
# 密度修正因子: 1.298
# 修正后阻止本领: 6704.17

# 分析结果:
# PBI分子数密度: 3.806764e+00 分子/nm³
# 径迹中心温度: 3,350 K
# 总沉积能量: 1.671808e+00 keV

径向距离_nm	原始剂量_keV_nm3	归一化剂量_keV_nm3	温度_K	单原子能量_eV
1.532699e+00	2.485180e-02	1.694203e-02	1.434670e+03	1.813424e-01
1.537415e+00	2.470042e-02	1.683883e-02	1.425931e+03	1.802378e-01
1.542146e+00	2.454995e-02	1.673625e-02	1.417245e+03	1.791398e-01
1.546891e+00	2.440040e-02	1.663430e-02	1.408611e+03	1.780486e-01
1.551650e+00	2.425176e-02	1.653297e-02	1.400031e+03	1.769640e-01
1.556425e+00	2.410402e-02	1.643225e-02	1.391502e+03	1.758859e-01
1.561214e+00	2.395718e-02	1.633215e-02	1.383025e+03	1.748144e-01
1.566017e+00	2.381123e-02	1.623265e-02	1.374599e+03	1.737494e-01
1.570836e+00	2.366616e-02	1.613375e-02	1.366224e+03	1.726909e-01
1.575669e+00	2.352198e-02	1.603546e-02	1.357901e+03	1.716388e-01
1.580517e+00	2.337867e-02	1.593776e-02	1.349628e+03	1.705930e-01
1.585380e+00	2.323623e-02	1.584066e-02	1.341405e+03	1.695537e-01
1.590258e+00	2.309466e-02	1.574415e-02	1.333232e+03	1.685206e-01
1.595151e+00	2.295394e-02	1.564822e-02	1.325109e+03	1.674938e-01
1.600059e+00	2.281409e-02	1.555287e-02	1.317035e+03	1.664733e-01
1.604983e+00	2.267508e-02	1.545811e-02	1.309010e+03	1.654589e-01
1.609921e+00	2.253691e-02	1.536392e-02	1.301034e+03	1.644508e-01
1.614874e+00	2.239958e-02	1.527030e-02	1.293106e+03	1.634487e-01
1.619843e+00	2.226309e-02	1.517725e-02	1.285226e+03	1.624527e-01
1.624827e+00	2.212743e-02	1.508476e-02	1.277395e+03	1.614628e-01
1.629827e+00	2.199259e-02	1.499284e-02	1.269611e+03	1.604789e-01
1.634841e+00	2.185857e-02	1.490147e-02	1.261874e+03	1.595009e-01
1.639872e+00	2.172536e-02	1.481066e-02	1.254184e+03	1.585289e-01
1.644917e+00	2.159296e-02	1.472041e-02	1.246541e+03	1.575628e-01
1.649979e+00	2.146137e-02	1.463070e-02	1.238944e+03	1.566026e-01
1.655055e+00	2.133058e-02	1.454153e-02	1.231393e+03	1.556482e-01
1.660148e+00	2.120058e-02	1.445291e-02	1.223889e+03	1.546996e-01
1.665256e+00	2.107137e-02	1.436482e-02	1.216429e+03	1.537568e-01
1.670380e+00	2.094294e-02	1.427727e-02	1.209016e+03	1.528197e-01
1.675519e+00	2.081530e-02	1.419025e-02	1.201647e+03	1.518882e-01
1.680675e+00	2.068843e-02	1.410377e-02	1.194323e+03	1.509625e-01
1.685846e+00	2.056233e-02	1.401780e-02	1.187043e+03	1.500424e-01
1.691033e+00	2.043700e-02	1.393236e-02	1.179808e+03	1.491278e-01
1.696236e+00	2.031243e-02	1.384744e-02	1.172617e+03	1.482188e-01
1.701455e+00	2.018862e-02	1.376303e-02	1.165469e+03	1.473154e-01
1.706690e+00	2.006555e-02	1.367914e-02	1.158365e+03	1.464174e-01
1.711942e+00	1.994324e-02	1.359575e-02	1.151304e+03	1.455249e-01
1.717209e+00	1.982167e-02	1.351288e-02	1.144286e+03	1.446378e-01
1.722493e+00	1.970084e-02	1.343050e-02	1.137310e+03	1.437561e-01
1.727793e+00	1.958074e-02	1.334863e-02	1.130377e+03	1.428797e-01
1.733109e+00	1.946138e-02	1.326725e-02	1.123486e+03	1.420087e-01
1.738442e+00	1.934273e-02	1.318637e-02	1.116637e+03	1.411430e-01
1.743791e+00	1.922481e-02	1.310598e-02	1.109830e+03	1.402825e-01
1.749156e+00	1.910761e-02	1.302608e-02	1.103064e+03	1.394273e-01
1.754538e+00	1.899112e-02	1.294667e-02	1.096339e+03	1.385773e-01
1.759936e+00	1.887533e-02	1.286774e-02	1.089655e+03	1.377324e-01
1.765352e+00	1.876025e-02	1.278928e-02	1.083011e+03	1.368927e-01
1.770783e+00	1.864587e-02	1.271131e-02	1.076408e+03	1.360580e-01
1.776232e+00	1.853219e-02	1.263381e-02	1.069845e+03	1.352285e-01
1.781697e+00	1.841919e-02	1.255678e-02	1.063322e+03	1.344040e-01
1.787179e+00	1.830689e-02	1.248021e-02	1.056839e+03	1.335845e-01
1.792678e+00	1.819526e-02	1.240412e-02	1.050395e+03	1.327700e-01
1.798194e+00	1.808431e-02	1.232848e-02	1.043990e+03	1.319604e-01
1.803727e+00	1.797404e-02	1.225331e-02	1.037624e+03	1.311557e-01
1.809277e+00	1.786444e-02	1.217859e-02	1.031297e+03	1.303560e-01
1.814844e+00	1.775551e-02	1.210433e-02	1.025008e+03	1.295611e-01
1.820428e+00	1.764723e-02	1.203051e-02	1.018758e+03	1.287710e-01
1.826029e+00	1.753962e-02	1.195715e-02	1.012545e+03	1.279858e-01
1.831647e+00	1.743266e-02	1.188423e-02	1.006370e+03	1.272053e-01
1.837283e+00	1.732635e-02	1.181176e-02	1.000233e+03	1.264295e-01
1.842936e+00	1.722069e-02	1.173973e-02	9.941333e+02	1.256585e-01
1.848607e+00	1.711566e-02	1.166813e-02	9.880706e+02	1.248922e-01
1.854295e+00	1.701128e-02	1.159697e-02	9.820447e+02	1.241305e-01
1.860000e+00	1.690753e-02	1.152624e-02	9.760554e+02	1.233735e-01
1.865723e+00	1.680442e-02	1.145595e-02	9.701026e+02	1.226210e-01
1.871464e+00	1.670193e-02	1.138608e-02	9.641859e+02	1.218732e-01
1.877222e+00	1.660006e-02	1.131663e-02	9.583053e+02	1.211299e-01
1.882998e+00	1.649881e-02	1.124761e-02	9.524604e+02	1.203911e-01
1.888792e+00	1.639818e-02	1.117901e-02	9.466510e+02	1.196568e-01
1.894604e+00	1.629816e-02	1.111082e-02	9.408770e+02	1.189269e-01
1.900433e+00	1.619875e-02	1.104305e-02	9.351381e+02	1.182015e-01
1.906280e+00	1.609994e-02	1.097569e-02	9.294341e+02	1.174805e-01
1.912146e+00	1.600174e-02	1.090874e-02	9.237648e+02	1.167639e-01
1.918029e+00	1.590413e-02	1.084220e-02	9.181299e+02	1.160517e-01
1.923931e+00	1.580712e-02	1.077606e-02	9.125294e+02	1.153438e-01
1.929851e+00	1.571069e-02	1.071033e-02	9.069629e+02	1.146402e-01
1.935788e+00	1.561485e-02	1.064500e-02	9.014302e+02	1.139408e-01
1.941745e+00	1.551960e-02	1.058006e-02	8.959313e+02	1.132458e-01
1.947719e+00	1.542492e-02	1.051552e-02	8.904657e+02	1.125549e-01
1.953712e+00	1.533082e-02	1.045137e-02	8.850334e+02	1.118683e-01
1.959723e+00	1.523730e-02	1.038761e-02	8.796342e+02	1.111858e-01
1.965753e+00	1.514434e-02	1.032423e-02	8.742678e+02	1.105075e-01
1.971802e+00	1.505194e-02	1.026125e-02	8.689341e+02	1.098333e-01
1.977869e+00	1.496011e-02	1.019864e-02	8.636328e+02	1.091632e-01
1.983954e+00	1.486884e-02	1.013642e-02	8.583637e+02	1.084972e-01
1.990059e+00	1.477813e-02	1.007458e-02	8.531267e+02	1.078353e-01
1.996182e+00	1.468796e-02	1.001311e-02	8.479216e+02	1.071773e-01
2.002324e+00	1.459834e-02	9.952017e-03	8.427481e+02	1.065234e-01
2.008485e+00	1.450927e-02	9.891296e-03	8.376061e+02	1.058735e-01
2.014665e+00	1.442074e-02	9.830943e-03	8.324954e+02	1.052275e-01
2.020864e+00	1.433275e-02	9.770958e-03	8.274158e+02	1.045854e-01
2.027082e+00	1.424530e-02	9.711338e-03	8.223671e+02	1.039473e-01
2.033319e+00	1.415838e-02	9.652081e-03	8.173492e+02	1.033130e-01
